,mic
266,0.221838118520472
267,0.14264874595428995
268,0.22011317405669242
269,0.19112563090830081
270,0.18686652811185603
271,0.18440861416832033
272,0.1911512235241373
273,0.16993311688008922
274,0.19759040540678882
275,0.184245483825451
276,0.184245483825451
277,0.1648577459963302
278,0.1648577459963302
279,0.1829670649738701
280,0.1829670649738701
281,0.18292710565682108
282,0.18252849814950403
283,0.18252849814950403
284,0.18069567817489854
285,0.18069567817489854
286,0.1886665646922911
287,0.1886665646922911
288,0.18236473555057497
289,0.15515651618112689
290,0.15515651618112689
291,0.14853811755273844
292,0.1708931102500985
293,0.13794731442369657
294,0.14432573491802736
295,0.1830879656518958
296,0.17584229934460946
297,0.18337617321156266
298,0.17806899828799802
299,0.16157149355653883
300,0.1517813176021891
301,0.17261395941642851
302,0.17584229934460946
303,0.15674909351140792
304,0.18792236263321
305,0.1459870416027899
306,0.14680104211747474
307,0.17584229934460946
308,0.17936185829040277
309,0.14826161092304319
310,0.14637110342716317
311,0.16738321945073517
312,0.16738321945073517
313,0.1672177876533237
314,0.19050638529093783
315,0.1672177876533237
316,0.1672177876533237
317,0.19050638529093783
318,0.1425229897998602
319,0.15608174524479757
320,0.1540192037172734
321,0.15155739133631596
322,0.1542310767437695
323,0.19193339219584196
324,0.1537880182222912
325,0.18083658671715172
326,0.15699048298531681
327,0.15226727306119212
328,0.13804412232829635
329,0.18413050901269462
330,0.18413050901269462
331,0.1824389645394799
332,0.17074007611847283
333,0.18337617321156266
334,0.18337617321156266
335,0.16689536642386463
336,0.13902048647804516
337,0.1494773749506446
338,0.1494773749506446
339,0.14618522026750086
340,0.13888257266336318
341,0.1552781564706411
342,0.11916662378489079
343,0.1593005253737164
344,0.18337617321156266
345,0.14146448549998553
346,0.14905080536239546
347,0.1382046784155523
348,0.1458413196809147
349,0.1458413196809147
350,0.1475866799583332
351,0.14943487477162318
352,0.19156910217890097
353,0.14372126895564613
354,0.14240498375852897
355,0.1369565002260975
356,0.16164131323871467
357,0.16164131323871467
358,0.15612478538873797
359,0.15612478538873797
360,0.1520480058979393
361,0.15337183593323347
362,0.14636764291871368
363,0.14636764291871368
364,0.18110475220760208
365,0.16943552847798116
366,0.1580640444144087
367,0.1598224064907017
368,0.1290150114052858
369,0.1498670195879501
370,0.17694315769207952
371,0.1576624495603865
372,0.15400826608386492
373,0.17594570414982202
374,0.17594570414982202
375,0.1507977966465091
376,0.15690016862106657
377,0.14086857892243326
378,0.14086857892243326
379,0.15235084115171965
