,pearsonr,f_regression,rfr,rfe,rg,rf
80,0.008347648139967917,0.03470466660866863,0.046,2385.0,-0.002446207696888448,0.000860457271065558
81,0.05852681078677194,1.7117062726821253,-0.045,227.0,-0.013349949884722783,0.0
82,0.0588850477736962,1.7327979160963707,-0.027,6631.0,-0.0001698541040351942,0.00035237957602185814
83,-0.036309003024092214,0.6574018444809934,0.045,6439.0,-0.0013625586219789074,5.341273421540735e-06
84,0.017649293703687022,0.1551741253457284,0.072,3901.0,0.0012407481702532697,0.0001871504561709525
85,0.043340580252565215,0.9372065909079941,0.112,1325.0,0.002630069043263586,5.192204182077127e-07
86,0.015907808818528046,0.12605497320809772,0.163,4829.0,-0.0027926833491332542,1.787174583552051e-06
87,0.036543338372086766,0.6659262468143842,0.162,6689.0,-0.0012545525828543541,0.003464574159140322
88,0.06122190159432082,1.8735868054334441,0.043,6323.0,0.00023919506335587717,7.350259756669683e-06
89,-0.034246814993476336,0.5847623150941625,0.08,6337.0,-0.002310603142150232,1.3787020549751758e-06
90,0.07065323252501686,2.4984277241389177,0.054,6336.0,-0.0009319151715056137,0.0
91,-0.03178660348205503,0.5036822186914752,0.004,2232.0,0.0028490658729673074,0.0
92,0.08984758110092693,4.052865854758928,0.035,2151.0,0.0037262057082551175,0.0
93,-0.0282718417016789,0.398368337166,0.007,2842.0,-0.0031946916824419982,0.0
94,0.015717859941563998,0.1230618608997344,0.08,3254.0,0.001972336532360057,0.0
95,0.03940139223315017,0.774332042576976,0.129,6484.0,-0.0009895368238852023,1.4019488994642342e-05
96,0.01592326752820696,0.12630014694881822,0.103,4612.0,-0.0027630925888657287,0.00022709827062813054
97,0.036627850230735476,0.6690140563024604,0.135,6389.0,-0.001203318331310134,0.003268742752341333
98,0.08407361339856499,3.5451076311890106,0.076,5014.0,-0.0008094221121778371,0.0011665759961310964
99,-0.027881646377930714,0.3874395201005943,0.032,3752.0,-0.00262722506223983,0.0008267607526377672
100,0.0012695350496754413,0.0008026374763190334,0.022,5648.0,-0.0017316277997320162,1.9324739537241997e-07
101,0.05312898950759674,1.4096784686455899,0.033,1986.0,0.005462904486227622,0.0013728726910826128
