,mic
266,0.14606448134153965
267,0.23726088135100076
268,0.23726088135100076
269,0.23726088135100076
270,0.23726088135100076
271,0.23726088135100076
272,0.23726088135100076
273,0.23726088135100076
274,0.23726088135100076
275,0.14264874595428995
276,0.14264874595428995
277,0.14264874595428995
278,0.14264874595428995
279,0.23460343954310078
280,0.221838118520472
281,0.23460343954310078
282,0.23460343954310078
283,0.23460343954310078
284,0.23460343954310078
285,0.23460343954310078
286,0.221838118520472
287,0.23460343954310078
288,0.221838118520472
289,0.14264874595428995
290,0.221838118520472
291,0.221838118520472
292,0.14264874595428995
293,0.22011317405669242
294,0.19112563090830081
295,0.18686652811185603
296,0.18440861416832033
297,0.1911512235241373
298,0.16993311688008922
299,0.19759040540678882
300,0.184245483825451
301,0.184245483825451
302,0.1648577459963302
303,0.1648577459963302
304,0.1829670649738701
305,0.1829670649738701
306,0.18292710565682108
307,0.18252849814950403
308,0.18252849814950403
309,0.18069567817489854
310,0.18069567817489854
311,0.1886665646922911
312,0.1886665646922911
313,0.18236473555057497
314,0.15515651618112689
315,0.15515651618112689
316,0.14853811755273844
317,0.1708931102500985
318,0.13794731442369657
319,0.14432573491802736
320,0.1830879656518958
321,0.17584229934460946
322,0.18337617321156266
323,0.17806899828799802
324,0.16157149355653883
325,0.1517813176021891
326,0.17261395941642851
327,0.17584229934460946
328,0.15674909351140792
329,0.18792236263321
330,0.1459870416027899
331,0.14680104211747474
332,0.17584229934460946
333,0.17936185829040277
334,0.14826161092304319
335,0.14637110342716317
336,0.16738321945073517
337,0.16738321945073517
338,0.1672177876533237
339,0.19050638529093783
340,0.1672177876533237
341,0.1672177876533237
342,0.19050638529093783
343,0.1425229897998602
344,0.15608174524479757
345,0.1540192037172734
346,0.15155739133631596
347,0.1542310767437695
348,0.19193339219584196
349,0.1537880182222912
350,0.18083658671715172
351,0.15699048298531681
352,0.15226727306119212
353,0.13804412232829635
354,0.18413050901269462
355,0.18413050901269462
356,0.1824389645394799
357,0.17074007611847283
358,0.18337617321156266
359,0.18337617321156266
360,0.16689536642386463
361,0.13902048647804516
362,0.1494773749506446
363,0.1494773749506446
364,0.14618522026750086
365,0.13888257266336318
366,0.1552781564706411
367,0.11916662378489079
368,0.1593005253737164
369,0.18337617321156266
370,0.14146448549998553
371,0.14905080536239546
372,0.1382046784155523
373,0.1458413196809147
374,0.1458413196809147
375,0.1475866799583332
376,0.14943487477162318
377,0.19156910217890097
378,0.14372126895564613
379,0.14240498375852897
380,0.1369565002260975
