学校,学院,url
河南工业大学,信息科学与工程学院,http://computer.haut.edu.cn/szdw.htm
长沙理工大学,电气与信息工程学院,http://www.csust.edu.cn/dq/szdw/dzxxgcx.htm
长沙理工大学,电气与信息工程学院,http://www.csust.edu.cn/dq/szdw/dlgcx.htm
长沙理工大学,电气与信息工程学院,http://www.csust.edu.cn/dq/szdw/zdhx.htm
长沙理工大学,电气与信息工程学院,http://www.csust.edu.cn/dq/szdw/syzx.htm
湖南科技学院,电子与信息工程学院,http://info.huse.cn/jsj_list.asp?bcls=2&sclas=40
邵阳学院,信息工程学院,http://www1.hnsyu.net/xinxi/bxgk_1492/szdu/jsfc/
山西大学,电子信息工程系,http://dzxx.sxu.edu.cn/jxgz/szdw/90139.htm
山西大学,电子信息工程系,http://dzxx.sxu.edu.cn/jxgz/szdw/90349.htm
山西大学,电子信息工程系,http://dzxx.sxu.edu.cn/jxgz/szdw/90747.htm
山西大学,电子信息工程系,http://dzxx.sxu.edu.cn/jxgz/szdw/90777.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/dlgcjgcrwlfx/index.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/jxgcxwd/index.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/aqkxygcxwd/index.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/gclxxwd/index.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/jxsjxwd/index.htm
北京化工大学,机电工程学院,http://www.mech.buct.edu.cn/rcyj/jsml/yzzyxwd/index.htm
厦门大学,电子工程系,http://eed.xmu.edu.cn/d4/6f/c13610a250991/page.htm
仲恺农业工程学院,信息科学与技术学院,http://xky.zhku.edu.cn/szdw/wpjs.htm
仲恺农业工程学院,信息科学与技术学院,http://xky.zhku.edu.cn/szdw/zgzc.htm
仲恺农业工程学院,信息科学与技术学院,http://xky.zhku.edu.cn/szdw/fgzc.htm
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/szdw/msfc.htm
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?urltype=tree.TreeTempUrl&wbtreeid=1019
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?a62047t=2&a62047p=2&a62047c=4&urltype=tree.TreeTempUrl&wbtreeid=1019
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?urltype=tree.TreeTempUrl&wbtreeid=1020
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?a62047t=3&a62047p=2&a62047c=4&urltype=tree.TreeTempUrl&wbtreeid=1020
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?urltype=tree.TreeTempUrl&wbtreeid=1021
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?a62047t=3&a62047p=2&a62047c=4&urltype=tree.TreeTempUrl&wbtreeid=1021
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?a62047t=3&a62047p=3&a62047c=4&urltype=tree.TreeTempUrl&wbtreeid=1021
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?urltype=tree.TreeTempUrl&wbtreeid=1023
