院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
西昌学院,四川,四川省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-484.dhtml,http://www.xcc.sc.cn,1,
西南医科大学,四川,四川省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-486.dhtml,http://www.swmu.edu.cn,1,
成都中医药大学,四川,四川省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-487.dhtml,http://www.cdutcm.edu.cn,1,
川北医学院,四川,四川省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-488.dhtml,http://www.nsmc.edu.cn/,1,
四川师范大学,四川,四川省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-490.dhtml,http://www.sicnu.edu.cn,1,
西华师范大学,四川,四川省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-492.dhtml,http://www.cwnu.edu.cn,1,
绵阳师范学院,四川,四川省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-493.dhtml,http://www.mnu.cn,1,
内江师范学院,四川,四川省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-494.dhtml,http://www.njtc.edu.cn,1,
宜宾学院,四川,四川省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-495.dhtml,http://www.yibinu.cn,1,
广西理工职业技术学院,广西,广西壮族自治区教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-7183831.dhtml,http://www.gxlgxy.com,1,
梧州职业学院,广西,广西壮族自治区教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18213703.dhtml,http://www.wzzyedu.com,1,
广西经济职业学院,广西,广西壮族自治区教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18347534.dhtml,http://www.gxjjzyxy.com,1,
广西幼儿师范高等专科学校,广西,广西壮族自治区教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18907107.dhtml,http://www.gxyesf.com,1,
广西科技职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-54928000.dhtml,http://www.gxkjzy.com,1,
广西卫生职业技术学院,广西,广西壮族自治区教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57297789.dhtml,http://www.gxwzy.com.cn/,1,
广西培贤国际职业学院,广西,广西壮族自治区教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-925358182.dhtml,http://www.peixianedu.cn,1,
广西金融职业技术学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1422588189.dhtml,http://www.gxjrxy.com,1,
广西蓝天航空职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1693417961.dhtml,http://www.gxltu.edu.cn,1,
广西经济管理干部学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18631829.dhtml,http://www.jgy.gx.cn,1,
广西教育学院,广西,广西壮族自治区教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1253367.dhtml,http://www.gxec.net.cn,1,
广西政法管理干部学院,广西,广西壮族自治区教育厅,政法,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5038218.dhtml,http://www.gxzfxy.cn,1,
南宁地区教育学院,广西,广西壮族自治区教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5124609.dhtml,http://www.nndqjyxy.cn,1,
海南大学,海南,海南省教育厅,综合,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-450.dhtml,http://www.hainu.edu.cn,1,
海南热带海洋学院,海南,海南省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-729.dhtml,http://zs.qzu.edu.cn,1,
海南师范大学,海南,海南省教育厅,师范,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-883.dhtml,http://www.hainnu.edu.cn,1,
海南医学院,海南,海南省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-920.dhtml,http://www.hainmc.edu.cn:82/zs/index.php,1,
海南职业技术学院,海南,海南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-946.dhtml,http://zs.hcvt.cn,1,
海口经济学院,海南,海南省教育厅,财经,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1010.dhtml,http://www.hkc.edu.cn,1,
西安电子科技大学,陕西,教育部,工科,本科,-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-549.dhtml,http://zsb.xidian.edu.cn,1,
西安工业大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-550.dhtml,http://www.xatu.cn/,1,
西安建筑科技大学,陕西,陕西省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-551.dhtml,http://www.xauat.edu.cn/,1,
西安科技大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-552.dhtml,http://zs.xust.edu.cn,1,
西安石油大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-553.dhtml,http://www.xsyu.edu.cn/,1,
西安工程大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-555.dhtml,http://www.xpu.edu.cn/,1,
西北农林科技大学,陕西,教育部,农业,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-557.dhtml,http://www.nwsuaf.edu.cn/,1,
陕西中医药大学,陕西,陕西省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-559.dhtml,http://zs.sntcm.edu.cn/,1,
