,pearsonr,f_regression,rfr,rfe,rg,rf,mic
155,-0.029088135,0.421724382,0.007,3200,-0.00281676,3.50E-06,0.166865774
156,0.071129054,2.532364594,0.051,5095,7.87E-05,0.002635979,0.180116499
157,-0.030561815,0.465579093,0.086,4455,-0.002617663,0.000234893,0.167289613
158,-0.124975937,7.901670491,0.13,4704,-0.004439775,3.15E-06,0.258886726
159,-0.200677689,20.89676935,0.188,1804,-0.008464689,0.001275786,0.248661486
160,-0.212297533,23.50432636,0.056,5115,-0.007441528,0.00024346,0.154430561
161,-0.170480365,14.90689783,0.058,714,-0.018677911,0,0.198026474
162,0.071967402,2.592723375,0.047,6301,0.000381815,0,0.179632858
163,-0.029332007,0.428831538,-0.011,3411,-0.002575148,0,0.161248809
164,-0.042426739,0.898030509,0.115,1967,-0.006802327,0,0.256878596
165,-0.038810294,0.751238546,0.1,2033,-0.006718787,3.66E-05,0.257832281
166,0.092560544,4.303461938,-0.022,441,0.035645497,0.002210471,0.150723438
167,0.017708405,0.15621561,-0.027,453,-0.008707949,0,0.152696247
168,0.026481673,0.34948203,0.018,843,0.015635829,0.000923482,0.156719965
169,0.138174494,9.692971077,0.002,368,0.044606745,7.48E-06,0.164916861
170,0.059130375,1.747317138,0.024,174,0.024358393,0.00440872,0.1700293
171,-0.006526457,0.021213035,-0.026,538,0.007055833,6.84E-05,0.156848361
172,-0.005468709,0.014894021,-0.01,2457,-0.001343245,1.45E-06,0.12906066
173,0.005468709,0.014894021,-0.011,2693,0.001343245,0,0.12906066
174,0.061839414,1.911718975,-0.023,1447,-0.004334718,0,0.173907326
175,0.131206211,8.723276527,-0.032,2082,0.006196496,0,0.16757376
176,0.068690306,2.360881851,-0.042,1710,-0.003030424,0,0.165020125
177,0.023189867,0.26795353,-0.064,4674,-0.000610702,0.000293362,0.151376668
178,-0.094462526,4.483747327,-0.018,176,-0.008640088,0,0.192688302
179,-0.025995965,0.336771104,-0.074,255,0.008682592,2.10E-05,0.196302059
180,-0.138650707,9.7612109,-0.02,4814,0.001065495,0.000469806,0.195297429
181,0.054650686,1.491830997,0.012,551,-0.010210766,0,0.197506596
182,0.069168776,2.394045049,-0.044,1340,-0.003093545,0,0.172689311
183,0.021546618,0.231307249,-0.056,5780,0.000611279,0.001464284,0.14685286
184,-0.060908116,1.854358969,-0.037,656,-0.009604059,1.63E-05,0.167106075
185,0.131206211,8.723276527,-0.073,163,0.006196496,0.000173326,0.16757376
186,0.07067731,2.500139387,-0.053,334,0.022430317,0.000170142,0.159021332
187,0.017111429,0.145857612,-0.043,220,0.017324443,5.63E-05,0.170750513
188,-0.01956277,0.190658551,-0.04,5049,-0.003487119,2.78E-05,0.141275589
189,-0.012328665,0.075705506,-0.004,897,0.009315062,1.87E-06,0.145084621
190,-0.008603311,0.036863177,-0.067,4060,-0.00237141,0.000412946,0.145016867
191,-0.088603816,3.940552692,-0.033,459,-0.016112296,0.000476989,0.164394827
192,0.000841787,0.000352886,-0.08,5262,-0.003028276,0.001358574,0.141154251
193,0.056897244,1.617409614,0.093,4930,0.000943687,0.000179716,0.195731608
194,-0.041062314,0.841102797,-0.032,5530,0.003566618,0,0.153560002
195,-0.072544381,2.634683738,-0.054,1271,0.002155667,9.68E-08,0.179477326
196,0.131206211,8.723276527,0.021,162,0.006196496,0,0.16757376
197,0.126440148,8.090931913,-0.031,2662,0.003677318,4.69E-05,0.16757376
198,0.131206211,8.723276527,-0.019,159,0.006196496,1.27E-06,0.16757376
199,0.126440148,8.090931913,-0.044,2594,0.003677318,0.00027573,0.16757376
200,0.131206211,8.723276527,-0.068,1388,0.006196496,0,0.16757376
201,0.126440148,8.090931913,-0.044,3078,0.003677318,0,0.16757376
202,0.131206211,8.723276527,-0.015,157,0.006196496,8.77E-05,0.16757376
203,0.126440148,8.090931913,-0.042,2867,0.003677318,0.000252233,0.16757376
204,0.131206211,8.723276527,0.005,1741,0.006196496,0.00056515,0.16757376
205,0.131206211,8.723276527,-0.051,740,0.006196496,0,0.16757376
206,0.131206211,8.723276527,-0.052,1193,0.006196496,0.0005356,0.16757376
207,0.069401317,2.410247365,-0.012,187,0.017236693,0,0.129933836
